"Endpoint","Min","Avg","P50","P95","Max","P95Target","AllTimes"
"GET /api/contracts","7.8","11.8","9.8","12.2","25.2","500","25.1819, 12.2361, 11.9388, 9.3334, 8.9474, 11.9858, 9.7857, 10.5283, 9.7944, 7.8494"
"GET /api/cost-ledger","4.1","5","4.7","6.1","6.6","1000","6.5713, 6.0597, 4.9111, 4.6726, 4.2277, 4.0864, 6.0377, 4.3795, 4.4372, 5.0936"
"GET /api/dashboard/cost-manager","10.5","19.4","14.8","34.6","37.1","2000","37.1474, 14.8764, 13.1309, 14.7764, 20.5094, 13.1677, 11.262, 24.265, 10.526, 34.6335"
"POST /api/alerts/batch-evaluate","4.2","5.2","4.4","6.1","8.3","5000","5.8419, 4.2614, 4.501, 4.3958, 4.4373, 4.2268, 4.2935, 8.2659, 6.1436, 5.4212"
"GET /api/api/notifications","4.5","6.3","4.9","5.7","18.4","300","5.097, 4.5462, 18.3872, 5.6915, 5.3947, 4.8221, 4.8825, 4.5184, 4.5368, 5.3736"
